risk_name,measure_name
Aumento del nivel del mar,Zona ajardinada exterior/interior
Aumento del nivel del mar,Jardín de lluvia
Aumento del nivel del mar,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Aumento del nivel del mar,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Aumento del nivel del mar,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Aumento del nivel del mar,Deshumidificador
Aumento del nivel del mar,Barreras de protección contra inundaciones: temporales o permanentes
Aumento del nivel del mar,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Aumento del nivel del mar,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Aumento del nivel del mar,Mejora de la estanqueidad al agua líquida (impermeabilización)
Aumento del nivel del mar,Sistema de drenaje perimetral
Aumento del nivel del mar,Materiales de construcción resistentes al agua
Aumento del nivel del mar,Grupo electrógeno
Aumento del nivel del mar,Revisión periódica de los sistemas de evacuación de aguas pluviales
Aumento del nivel del mar,Refuerzo estructural de elementos primarios y secundarios
Aumento del nivel del mar,Redes eléctricas subterráneas y protegidas
Aumento del nivel del mar,Contraventanas exteriores y refuerzos de carpinterías

Inundación costera/fluvual/pluvial,Zona ajardinada exterior
Inundación costera/fluvual/pluvial,Jardín de lluvia
Inundación costera/fluvual/pluvial,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Inundación costera/fluvual/pluvial,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Inundación costera/fluvual/pluvial,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Inundación costera/fluvual/pluvial,Deshumidificador
Inundación costera/fluvual/pluvial,Barreras de protección contra inundaciones: temporales o permanentes
Inundación costera/fluvual/pluvial,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Inundación costera/fluvual/pluvial,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Inundación costera/fluvual/pluvial,Mejora de la estanqueidad al agua líquida (impermeabilización)
Inundación costera/fluvual/pluvial,Sistema de drenaje perimetral
Inundación costera/fluvual/pluvial,Materiales de construcción resistentes al agua
Inundación costera/fluvual/pluvial,Grupo electrógeno
Inundación costera/fluvual/pluvial,Revisión periódica de los sistemas de evacuación de aguas pluviales
Inundación costera/fluvual/pluvial,Refuerzo estructural de elementos primarios y secundarios
Inundación costera/fluvual/pluvial,Redes eléctricas subterráneas y protegidas
Inundación costera/fluvual/pluvial,Contraventanas exteriores y refuerzos de carpinterías

Variablildad hidrológica o de las precipitaciones,Cubierta vegetal (plana o inclinada)
Variablildad hidrológica o de las precipitaciones,Zona ajardinada exterior/interior
Variablildad hidrológica o de las precipitaciones,Jardín de lluvia
Variablildad hidrológica o de las precipitaciones,Separación entre la fachada y el desagüe de pluviales
Variablildad hidrológica o de las precipitaciones,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Variablildad hidrológica o de las precipitaciones,Sistema de drenaje perimetral
Variablildad hidrológica o de las precipitaciones,Mejora de la estanqueidad al agua líquida (impermeabilización)
Variablildad hidrológica o de las precipitaciones,Materiales de construcción resistentes al agua
Variablildad hidrológica o de las precipitaciones,Revisión periódica de los sistemas de evacuación de aguas pluviales
Variablildad hidrológica o de las precipitaciones,Refuerzo estructural de elementos primarios y secundarios
Variablildad hidrológica o de las precipitaciones,Barreras de protección contra inundaciones: temporales o permanentes
Variablildad hidrológica o de las precipitaciones,Deshumidificador
Variablildad hidrológica o de las precipitaciones,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Variablildad hidrológica o de las precipitaciones,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Variablildad hidrológica o de las precipitaciones,Redes eléctricas subterráneas y protegidas
Variablildad hidrológica o de las precipitaciones,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Variablildad hidrológica o de las precipitaciones,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Variablildad hidrológica o de las precipitaciones,Contraventanas exteriores y refuerzos de carpinterías

Cambios en los patrones y tipos de precipitaciones,Cubierta vegetal (plana o inclinada)
Cambios en los patrones y tipos de precipitaciones,Zona ajardinada exterior/interior
Cambios en los patrones y tipos de precipitaciones,Jardín de lluvia
Cambios en los patrones y tipos de precipitaciones,Separación entre la fachada y el desagüe de pluviales
Cambios en los patrones y tipos de precipitaciones,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Cambios en los patrones y tipos de precipitaciones,Sistema de drenaje perimetral
Cambios en los patrones y tipos de precipitaciones,Mejora de la estanqueidad al agua líquida (impermeabilización)
Cambios en los patrones y tipos de precipitaciones,Materiales de construcción resistentes al agua
Cambios en los patrones y tipos de precipitaciones,Revisión periódica de los sistemas de evacuación de aguas pluviales
Cambios en los patrones y tipos de precipitaciones,Refuerzo estructural de elementos primarios y secundarios
Cambios en los patrones y tipos de precipitaciones,Barreras de protección contra inundaciones: temporales o permanentes
Cambios en los patrones y tipos de precipitaciones,Deshumidificador
Cambios en los patrones y tipos de precipitaciones,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Cambios en los patrones y tipos de precipitaciones,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Cambios en los patrones y tipos de precipitaciones,Redes eléctricas subterráneas y protegidas
Cambios en los patrones y tipos de precipitaciones,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Cambios en los patrones y tipos de precipitaciones,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Cambios en los patrones y tipos de precipitaciones,Contraventanas exteriores y refuerzos de carpinterías

Precipitaciones intensas/extremas,Cubierta vegetal (plana o inclinada)
Precipitaciones intensas/extremas,Zona ajardinada exterior/interior
Precipitaciones intensas/extremas,Jardín de lluvia
Precipitaciones intensas/extremas,Separación entre la fachada y el desagüe de pluviales
Precipitaciones intensas/extremas,Re-dimensionamiento de sistemas de evacuación de aguas pluviales
Precipitaciones intensas/extremas,Sistema de drenaje perimetral
Precipitaciones intensas/extremas,Mejora de la estanqueidad al agua líquida (impermeabilización)
Precipitaciones intensas/extremas,Materiales de construcción resistentes al agua
Precipitaciones intensas/extremas,Revisión periódica de los sistemas de evacuación de aguas pluviales
Precipitaciones intensas/extremas,Refuerzo estructural de elementos primarios y secundarios
Precipitaciones intensas/extremas,Barreras de protección contra inundaciones: temporales o permanentes
Precipitaciones intensas/extremas,Deshumidificador
Precipitaciones intensas/extremas,Elevación del suelo de la planta baja (suelo habitable sobre-elevado)
Precipitaciones intensas/extremas,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Precipitaciones intensas/extremas,Redes eléctricas subterráneas y protegidas
Precipitaciones intensas/extremas,Colocación de dispositivos sanitarios por encima del nivel de inundación previsto
Precipitaciones intensas/extremas,Colocación de instalaciones eléctricas y mecánicas por encima del nivel de inundación previsto
Precipitaciones intensas/extremas,Contraventanas exteriores y refuerzos de carpinterías

Ola de calor,Cubierta vegetal (plana o inclinada)
Ola de calor,Fachada vegetal
Ola de calor,Zona ajardinada exterior/interior
Ola de calor,Xerojardinería: vegetación de bajos requerimientos hídricos
Ola de calor,Building Management System (BMS)
Ola de calor,Ventilación mecánica controlada (VMC) con recuperador de calor
Ola de calor,Orientación y dimensionado de los huecos acristalados
Ola de calor,Reflectividad de la envolvente
Ola de calor,Aislamiento térmico continuo y de espesor adecuado
Ola de calor,Actualización y mejora del sistema de climatización
Ola de calor,Mejora de la hermeticidad al aire
Ola de calor,Mejora de la estanqueidad al agua líquida (impermeabilización)
Ola de calor,Disposición de juntas de dilatación o contracción

Estrés térmico,Cubierta vegetal (plana o inclinada)
Estrés térmico,Fachada vegetal
Estrés térmico,Zona ajardinada exterior/interior
Estrés térmico,Xerojardinería: vegetación de bajos requerimientos hídricos
Estrés térmico,Building Management System (BMS)
Estrés térmico,Ventilación mecánica controlada (VMC) con recuperador de calor
Estrés térmico,Orientación y dimensionado de los huecos acristalados
Estrés térmico,Reflectividad de la envolvente
Estrés térmico,Aislamiento térmico continuo y de espesor adecuado
Estrés térmico,Actualización y mejora del sistema de climatización
Estrés térmico,Mejora de la hermeticidad al aire
Estrés térmico,Mejora de la estanqueidad al agua líquida (impermeabilización)
Estrés térmico,Disposición de juntas de dilatación o contracción

Variabilidad de la temperatura,Cubierta vegetal (plana o inclinada)
Variabilidad de la temperatura,Fachada vegetal
Variabilidad de la temperatura,Zona ajardinada exterior/interior
Variabilidad de la temperatura,Xerojardinería: vegetación de bajos requerimientos hídricos
Variabilidad de la temperatura,Building Management System (BMS)
Variabilidad de la temperatura,Ventilación mecánica controlada (VMC) con recuperador de calor
Variabilidad de la temperatura,Orientación y dimensionado de los huecos acristalados
Variabilidad de la temperatura,Reflectividad de la envolvente
Variabilidad de la temperatura,Aislamiento térmico continuo y de espesor adecuado
Variabilidad de la temperatura,Actualización y mejora del sistema de climatización
Variabilidad de la temperatura,Mejora de la hermeticidad al aire
Variabilidad de la temperatura,Mejora de la estanqueidad al agua líquida (impermeabilización)
Variabilidad de la temperatura,Disposición de juntas de dilatación o contracción

Cambios de temperatura,Cubierta vegetal (plana o inclinada)
Cambios de temperatura,Fachada vegetal
Cambios de temperatura,Zona ajardinada exterior/interior
Cambios de temperatura,Xerojardinería: vegetación de bajos requerimientos hídricos
Cambios de temperatura,Building Management System (BMS)
Cambios de temperatura,Ventilación mecánica controlada (VMC) con recuperador de calor
Cambios de temperatura,Orientación y dimensionado de los huecos acristalados
Cambios de temperatura,Reflectividad de la envolvente
Cambios de temperatura,Aislamiento térmico continuo y de espesor adecuado
Cambios de temperatura,Actualización y mejora del sistema de climatización
Cambios de temperatura,Mejora de la hermeticidad al aire
Cambios de temperatura,Mejora de la estanqueidad al agua líquida (impermeabilización)
Cambios de temperatura,Disposición de juntas de dilatación o contracción

Incendio forestal,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Incendio forestal,Actualización y mejora del sistema de Protección contra incendios (PCI)
Incendio forestal,Sectorización de incendios
Incendio forestal,Grupo electrógeno
Incendio forestal,Redes eléctricas subterráneas y protegidas
Incendio forestal,Contraventanas exteriores y refuerzos de carpinterías
Incendio forestal,Revisión periódica de los sistemas de extinción de incendios

Tormenta,Barreras anti-viento vegetales
Tormenta,Contraventanas exteriores y refuerzos de carpinterías
Tormenta,Mejora de la hermeticidad al aire
Tormenta,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Tormenta,Refuerzo estructural de elementos primarios y secundarios
Tormenta,Grupo electrógeno
Tormenta,Redes eléctricas subterráneas y protegidas
Tormenta,Actualización y mejora del sistema de climatización

Ciclón/Huracán/Tifón,Barreras anti-viento vegetales
Ciclón/Huracán/Tifón,Contraventanas exteriores y refuerzos de carpinterías
Ciclón/Huracán/Tifón,Mejora de la hermeticidad al aire
Ciclón/Huracán/Tifón,Filtros y sistemas de purificación de aire (filtración de aire exterior)
Ciclón/Huracán/Tifón,Refuerzo estructural de elementos primarios y secundarios
Ciclón/Huracán/Tifón,Grupo electrógeno
Ciclón/Huracán/Tifón,Redes eléctricas subterráneas y protegidas
Ciclón/Huracán/Tifón,Actualización y mejora del sistema de climatización

Erosión costera,Barreras anti-viento vegetales
Erosión costera,Contraventanas exteriores y refuerzos de carpinterías
Erosión costera,Disposición de juntas de dilatación o contracción
Erosión costera,Redes eléctricas subterráneas y protegidas
Erosión costera,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Erosión costera,Refuerzo estructural de elementos primarios y secundarios
Erosión costera,Grupo electrógeno
Erosión costera,Filtros y sistemas de purificación de aire (filtración de aire exterior)

Desprendimiento de tierras,Barreras anti-viento vegetales
Desprendimiento de tierras,Contraventanas exteriores y refuerzos de carpinterías
Desprendimiento de tierras,Disposición de juntas de dilatación o contracción
Desprendimiento de tierras,Redes eléctricas subterráneas y protegidas
Desprendimiento de tierras,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Desprendimiento de tierras,Refuerzo estructural de elementos primarios y secundarios
Desprendimiento de tierras,Grupo electrógeno
Desprendimiento de tierras,Filtros y sistemas de purificación de aire (filtración de aire exterior)

Hundimiento,Barreras anti-viento vegetales
Hundimiento,Contraventanas exteriores y refuerzos de carpinterías
Hundimiento,Disposición de juntas de dilatación o contracción
Hundimiento,Redes eléctricas subterráneas y protegidas
Hundimiento,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Hundimiento,Refuerzo estructural de elementos primarios y secundarios
Hundimiento,Grupo electrógeno
Hundimiento,Filtros y sistemas de purificación de aire (filtración de aire exterior)

Avalancha,Barreras anti-viento vegetales
Avalancha,Contraventanas exteriores y refuerzos de carpinterías
Avalancha,Disposición de juntas de dilatación o contracción
Avalancha,Redes eléctricas subterráneas y protegidas
Avalancha,Sistemas de purificación de agua en lavabos y fregaderos (fuentes y dispensadores de agua potable)
Avalancha,Refuerzo estructural de elementos primarios y secundarios
Avalancha,Grupo electrógeno
Avalancha,Filtros y sistemas de purificación de aire (filtración de aire exterior)

Aumento del nivel del mar,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Aumento del nivel del mar,Plan de emergencia (Plan de autoprotección)
Aumento del nivel del mar,Sistemas de alerta temprana
Aumento del nivel del mar,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Inundación costera/fluvual/pluvial,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Inundación costera/fluvual/pluvial,Plan de emergencia (Plan de autoprotección)
Inundación costera/fluvual/pluvial,Sistemas de alerta temprana
Inundación costera/fluvual/pluvial,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Variablildad hidrológica o de las precipitaciones,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Variablildad hidrológica o de las precipitaciones,Plan de emergencia (Plan de autoprotección)
Variablildad hidrológica o de las precipitaciones,Sistemas de alerta temprana
Variablildad hidrológica o de las precipitaciones,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Cambios en los patrones y tipos de precipitaciones,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Cambios en los patrones y tipos de precipitaciones,Plan de emergencia (Plan de autoprotección)
Cambios en los patrones y tipos de precipitaciones,Sistemas de alerta temprana
Cambios en los patrones y tipos de precipitaciones,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Precipitaciones intensas,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Precipitaciones intensas,Plan de emergencia (Plan de autoprotección)
Precipitaciones intensas,Sistemas de alerta temprana
Precipitaciones intensas,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Ola de calor,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Ola de calor,Plan de emergencia (Plan de autoprotección)
Ola de calor,Sistemas de alerta temprana
Ola de calor,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Estrés térmico,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Estrés térmico,Plan de emergencia (Plan de autoprotección)
Estrés térmico,Sistemas de alerta temprana
Estrés térmico,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Variabilidad de temperatura,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Variabilidad de temperatura,Plan de emergencia (Plan de autoprotección)
Variabilidad de temperatura,Sistemas de alerta temprana
Variabilidad de temperatura,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Cambios de temperatura,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Cambios de temperatura,Plan de emergencia (Plan de autoprotección)
Cambios de temperatura,Sistemas de alerta temprana
Cambios de temperatura,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Incendio forestal,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Incendio forestal,Plan de emergencia (Plan de autoprotección)
Incendio forestal,Sistemas de alerta temprana
Incendio forestal,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Tormenta,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Tormenta,Plan de emergencia (Plan de autoprotección)
Tormenta,Sistemas de alerta temprana
Tormenta,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Ciclón/Huracán/Tifón,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Ciclón/Huracán/Tifón,Plan de emergencia (Plan de autoprotección)
Ciclón/Huracán/Tifón,Sistemas de alerta temprana
Ciclón/Huracán/Tifón,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Erosión costera,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Erosión costera,Plan de emergencia (Plan de autoprotección)
Erosión costera,Sistemas de alerta temprana
Erosión costera,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Desprendimiento de tierras,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Desprendimiento de tierras,Plan de emergencia (Plan de autoprotección)
Desprendimiento de tierras,Sistemas de alerta temprana
Desprendimiento de tierras,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Hundimiento,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Hundimiento,Plan de emergencia (Plan de autoprotección)
Hundimiento,Sistemas de alerta temprana
Hundimiento,Contratación de un seguro de cobertura ante impactos del Cambio Climático

Avalancha,Plan de capacitación de empleados ante los riesgos del Cambio Climático
Avalancha,Plan de emergencia (Plan de autoprotección)
Avalancha,Sistemas de alerta temprana
Avalancha,Contratación de un seguro de cobertura ante impactos del Cambio Climático